ID,Description,Entry_ID,Antonym,Comment,Grammar_Note,Metathesised_Form,Scientific_Name,Synonym,Usage
SN000426,"be alike to, be similar to; similative circumposition",LX000058,,,The prepositional construction with [iwe](iwe) appears to be in free variation with the circumpositional construction with iwe ... gèning.,,,,
SN000427,"narrow, of small width",iyut,,,,,,,
SN000428,canoe that does not have an outrigger,kadang,,,,,,,
SN000429,milkweed,kaibilak,,,,,Calotropis gigantea,,
SN000430,"comb, traditionally made from bamboo",kaikur,,,,,,,
SN000431,"things, all sorts of things, things of many kinds",-kaka_boli,,,,,,,
SN000432,younger sibling (male or female),-kaku,,,,,,,
SN000433,toilet,kakus,,,,,,,
SN000434,gum lac tree,kalang,,,,,Schleichera oleosa,,
SN000435,testicle (of animal or human),-kalang_iko,,,,,,,
SN000436,"Kalabahi, capital of Alor",Kalangbas,,,,,,,
SN000437,giant clam,kali_koli,,,,,Tridacna gigas,,
SN000438,"pillow, cushion used for the head",kalulung,,,,,,,
SN000439,"room, chamber",kamar,,,,,,,
SN000440,"already, kind of perfective aspect marker",kana,,,,,,,
SN000441,"chair, bench, place to sit",kander,,,,,,,
SN000442,"good, nice",kang,,,,,,,
SN000443,right-hand,kang,,,,,,,
SN000444,"know how to, be able to (do something), be good at (doing something)",kang,,,In this sense [kang](kang) follows a verb denoting the action.,,,,
SN000445,coffee,kape,,,,,,,
SN000446,"lest, may it not; avoidative marking construction",kapo,,,This item occurs in the clause in a position that is preverbal. It appears to always be accompanied by a postverbal marker such as gei or [apa](apa).,,,,
SN000447,"kind of shallow basket that is a common household item, in the form of a round, used to winnow rice etc.",kari,,,,,,,
SN000448,"hardworking, active, always trying hard",-kari,,,,,,,
SN000449,"hard, solid, firm, and rigid; not easily bent or dented (of inanimates)",kasal,,,,,,,
SN000450,"bean, leguminous plant (member of the pea family), especially one grown as a crop.",kasu,,,,,Leguminosae,,
SN000451,"shine, give out a bright light (of the sun)",katang,,,,,,,
SN000452,"tuber, thickened underground part of a stem or rhizome",kau,,,,,,,
SN000453,"person who is of low class or status, such as slaves or the poor",kau_kol,,,,,,,
SN000454,"bother, disturb interfere with",-kawai,,,,,,,
SN000455,ray species,keli,,,,,,,
SN000456,kind of fish,keli_beli,,,,,,,
SN000457,"provocateur, someone who engages in provocative behavior",keli_beli,,,,,,,
SN000458,"cloth, rectangular piece of material that is not sown into a garment",keng,,,,,,,
SN000459,"clothing, clothes",keng_badu,,,,,,,
SN000460,set up a loom,keng_lol,,,Compound verb with [keng](keng) 'cloth'.,,,,
SN000461,"jump, skip, leap",kengel,,,,,,,
SN000462,"Kisar, island in southwest Maluku",Keser,,,,,,,
SN000463,worm (generic),kespak,,,,,,,
SN000464,thunder,ket,,,,,,,
SN000465,"gun, rifle",ket,,,,,,ket_sruing,
SN000466,"defecate, shit",-ket,,,,,,,
SN000467,"gun, rifle",ket_sruing,,,,ket surin-,,,
SN000468,"have diahorrea, defecate repeatedly",-ket_uli-uli,,,,,,,
SN000469,"thread, fine string spun from cotton used for sewing or weaving",kibilko,,,,,,,
SN000470,"have conjunctivitis, have pink-eye",kibir,,,,,,,
SN000471,"very, too, so; to a high degree, to a great extent; excessive",kid,,,,,,,
SN000472,"just, only; exclusively, to the exclusion of other (things, ways)",kid,,,,,,,
SN000473,flower,kik,,,,,,,
SN000474,flowers,kik_lau,,,,,,,
SN000475,"caterpillar, grub; larva of a butterfly or moth, or any insect larva resembling the larvae of them",kikil,,,,,,,
SN000476,tree species used for making traditional treenails,kil,,,,,,,
SN000477,"nail, wooden peg or pin used to fasten pieces of wood together, especially in timber frames",kil,,,,,,,
SN000478,"armpit, hollow under the arm",-kil,,,,,,,
SN000479,type of fan that is used to stimulate the burning of a fire,kilapi,,,,,,,
SN000480,twig or small branch that has already fallen or been severed from a tree,kilar,,,,,,,
SN000481,knife,kinai,,,,,,,
SN000482,canarium tree,kinaring,,,,,Canarium vulgare,,
SN000483,"breath, air taken into or expelled from the lungs",-king,,,,,,,
SN000484,"breathing, process of taking air into and expelling it from the lungs",-king,,,,,,,
SN000485,"seat of anger, violent emotions",-king,,,This sense seems to be limited to a few fixed expressions.,,,,
SN000486,"hot-headed, cross, angered",LX000059,,,,,,,
SN000487,"breathe, take air into the lungs and then expel it",LX000060,,,Sèsai is only found together with [-king](-king).,,,,
SN000488,"string (something, typically meat) on a thread",kir,,,,,,,
SN000489,"Kiralang, the beach at Kiramang",Kiralang,,,,,,,
SN000490,"Kiramang, village on south coast of Alor",Kiramang,,,,,,,
SN000491,"poke, tickle",-kiskol,,,,,,,
SN000492,"cry, weep",ko,,,"Ko contrasts with [-tèko](LX000292), denoting less specific crying.",,,,
SN000493,"alive, be living",-ko,,,,,,,
SN000494,"live, reside",-ko,,,,,,,
SN000495,continuative aspect serial verb including habitual and durative aspects,-ko,,,This serial verb appears after the semantically main verb of clause; its prefix agrees with the S/A of that verb.,,,,
SN000496,"sob, cry from sadness, cry noisily",ko_sui,,,,,,,
SN000497,watermelon,koa,,,,,Citrullus lanatus,,
SN000498,kind of basket which can be closed,koi_bat,,,,,,,
SN000499,"mung bean; legume with small, green beans",kol_kas,,,,,Vigna radiata,,
SN000500,"moringa, drumstick tree",kol_teng,,,,,Moringa oleifera,,
SN000501,Kolana,Kolang,,,,,,,
SN000502,cut down (a tree),koli,,,,,,,
SN000503,earthquake,kome,,,,,,,
SN000504,responsibility,konto,,,,,,,
SN000505,box for keeping lime powder in,kor,,,,,,,
SN000506,greedy,LX000061,,,,,,,
SN000507,stone wall; wall fortifying a village,kot,,,,,,,
SN000508,"crooked, bent",kowai,,,,,,,
SN000509,"rich, wealthy",kowas,,,,,,,
SN000510,"very rich, wealthy",kowas_bis,,,,,,,
SN000511,"catch on, get caught on",kriba,,,,,,,
SN000512,orphan,krik,,,,,,,
SN000513,"brain, grey-matter",-ku,,,,,,,
SN000514,marrow,-ku,,,This sense requires the inclusion of [seri](seri) 'bone' in the NP.,,,,
SN000515,"tree species, kind of fig tree",kuasi,,,,,,,
SN000516,mosquito,kubung,,,,,,,
SN000517,"fart, release gas",-kui,,,,,,,
SN000518,"foam, bubble",kula,,,,,,,
SN000519,"pandanus, screwpine",kulak,,,,,Pandanus spp.,,
SN000520,"umbrella, kind of traditional mat plaited together from pandanus leaves and used to shield oneself from the rain",kulak,,,,,,,
SN000521,coconut oil,kulau,,,,,,,
SN000522,"must, definitely should happen",kuli,,,,,,,
SN000523,"certainly, definitely",kuli,,,,,,,
SN000524,"round, having a round shape",kum,,,,,,,
SN000525,"squat, rest on one's haunches",kum_-mit,,,,,,,
SN000526,"really fat and round, corpulent, well-rounded",kum_pak,,,,,,,
SN000527,"dirty, unclean",kumakar,,,,,,,
SN000528,"(of people) hunched, be bent forward in the top of one's body",kumes,,,,,,,
SN000529,"(of non-animals) grow, get bigger",kur,,,,,,,
SN000530,"(of an animate) bottom, buttocks",-kureng,,,,,,,
SN000531,(of an object) lowest point or part of something,-kureng,,,,,,,
SN000532,"be insufficient, deficient (in size or quantity)",kurung,,,,,,,
SN000533,"be scant, scare (in number)",kurung,,,,,,,
SN000534,"shortage, lack of wealth",LX000062,,,Kèlaba is only used together with [kurung](kurung).,,,,
SN000535,"ant, type of insect (generic)",kusing,,,,,,,
SN000536,dog,kutual,,,,,,,
SN000537,"wrap up, cover up",LX000063,,,,,,,
SN000538,young (of a coconut),LX000064,,,,,,,
SN000539,stir (rice) so that the rice at the bottom does not stick to the pot,LX000065,,,,,,,
SN000540,bunch of maize cobs strung up in a circular pattern,LX000066,,,,kèbais,,,
SN000541,"navel, belly button",LX000067,,,,,,,
SN000542,umbilical cord,LX000068,,,,,,,
SN000543,"loincloth, single piece of cloth wrapped round the hips",LX000069,,,,,,,
SN000544,"hole through an object, puncture",LX000070,,,,,,,
SN000545,"hollow (in a tree), hole through an entity, not merely a groove as in the ground",LX000070,,,,,,,
SN000546,"split, chop (wood) resulting in two or more pieces",LX000071,,,,,,,
SN000547,"sago starch, starch extracted from the spongy centre of sago palms",LX000072,,,,kèdeis,,,
SN000548,"sitting platform, slatted area beneath house where people sit or lie",LX000073,,,,,,,
SN000549,gong,LX000074,,,,,,,
SN000550,"digit; finger, toe, small appendage at end of limb",LX000075,,,"This item is always compounded appears in a compound with either [-teng](-teng) 'hand, arm' or [-wak](-wak) 'foot, leg'.",,,,
SN000551,"underarm, area including shoulder and underarm",LX000076,,,,,,,
SN000552,blue colour,LX000077,,,,,,,
SN000553,"java olive tree, tree sp.",LX000078,,,,,Sterculia foetida,,
SN000554,"skin, outer covering of the body of a person or animal",LX000079,,,,,,,
SN000555,"bark, outer covering of tree",LX000079,,,,,,,
SN000556,rope,LX000080,,,,,,,
SN000557,vine,LX000080,,,,,,,
SN000558,"scratch, mark the surface of (something) with a sharp instrument, typically nails",LX000081,,,,,,,
SN000559,"kapok, ceiba, white silk-cotton tree",LX000082,,,,,Ceiba pentandra,,
SN000560,suffer from a kind of skin disease in which oozing sores form,LX000083,,,,,,,
SN000561,"nail, claw or any hardened formation of alpha-keratin on digits of human or animal",LX000084,,,,,,,
SN000562,"be in a circle, in a ring",LX000085,,,,,,,
SN000563,shy,-ladi,,,,,,,
SN000564,"stand in large numbers, stand in a bunch, bunch up in a standing position",ladi_-tati,,,,,,,
SN000565,"finished, completed, brought to an end",lai,,,,,,,
SN000566,"finish, complete, bring (a task or activity) to an end",lai,,,"In this sense, [lai](lai) 'finished' is a final serial verb.",,,,
SN000567,"completely, totally, all; marks that a situation has been entered into completely",lai,,,"In this sense, [lai](lai) 'finished' is a final serial verb.",,,,
SN000568,walk,lailol,,,,,,,
SN000569,"leave, depart",lailol,,,,,,,
SN000570,"urge, encourage (someone) to do something",-laing,,,,,,,
SN000571,onion (generic),laisong,,,,,,,
SN000572,"go via, go around via a particular point",-laitaing,,,,,,,
SN000573,"open, move (a door or window) so as to leave a space allowing access",lak,,,,,,,
SN000574,"take off, remove (clothing or similar) from one's or another's body.",lak,,,,,,,
SN000575,leaf,LX000086,,,,,,,
SN000576,"thing that resembles a leaf in being flat, thin and flappy parts of objects",LX000086,,,"In this function, [lak](LX000086) occurs as the possessed noun either in a possessive phrase or possessive compound.",,,,
SN000577,"hang, be suspended from above with the lower part dangling free",lakal,,,,,,,
SN000578,"float, hover in the air or on a liquid",lakal,,,,,,,
SN000579,"be on the way, be in the process of coming",lakal_-mai,,,,,,,
SN000580,"sick where there is a fever and the whole body is involved, such as with malaria or the flu",lalang,,,,,,,
SN000581,gill fish,-lalang,,,,,,,
SN000582,very sick,LX000087,,,,,,,
SN000583,play,-lali,,,,,,,
SN000584,"comb of a chicken, fleshy growth or crest on the top of the head of gallinaceous birds",-laling,,,,,,,
SN000585,"beach, shore, coastline",lang,,,,,,,
SN000586,Lantoka,Lantok,,,,,,,
SN000587,breadfruit,lapori,,,,,Artocarpus altilis,,
SN000588,"consider, weigh up; think carefully before making a decision",lasu,,,,,,,
SN000589,"flat, level, without bumps or hills",lat,,,,,,,
SN000590,"sole, palm; flat part of the hand or foot",lat,,,This sense is only found adnominal to the nouns [-teng](-teng) and [-wak](-wak).,,,,
SN000591,"very flat, completely flat and smooth",LX000088,,,,,,,
SN000592,god (Christian or Muslim),latal,,,,,,,
SN000593,"swell, be swollen as a result of an infected wound",latu,,,,,,,
SN000594,rock and pat (a baby) until it falls asleep,latuti,,,,,,,
SN000595,species of ray that is found on the sea floor,LX000089,,,,,,,
SN000596,"hunt, pursue and kill (a wild animal) for food",lau,,,,,,,
SN000597,"on top of, upon; locative applicative prefix for an applied P that is in a locative relationship of being on top of , being above from, or being attached to a vertical surface",le-,,,"On applicativisation, the original P of the verb becomes the P of the serial verb [medi](medi) 'take'.",,,,
SN000598,"from, out of; locative applicative prefix for an applied P that is a source location from which something issues",le-,,,,,,,
SN000599,"because of, on account of, from; applicative introducing a cause for the event denoted by the verb",le-,,,,,,,
SN000600,up until; up to a point where the property/event denoted by the verb is attained,le-,,,"In this sense, [le-](le-) is not applicative, but denotes continuation of an action until the achievement of a situation.",,,,
SN000601,"into X number of items, pieces (on numerals)",le-,,,"In this sense, [le-](le-) is not applicative; used on numerals to signal that X number of items should result from an action.",,,,
SN000602,"suffix that appears on ""all"" pronouns; seems to be used to imply that every single member of the set of ""all"" is being referred to.",-le,,,Function of the suffix not well-understood.,,,,
SN000603,"almost at, almost near, getting closer",le-_-dap,,,,,,,
SN000604,"comply with, go along with, act according to (an instruction or precept)",le-_-lol,,,,,,,
SN000605,"agree with, go along with (what someone says)",le-_-ma,,,,,,,
SN000606,"(eat) until full, until satiated (of food)",le-_-meing,,,,,,,
SN000607,"be positioned on (something) (of squat, low referents)",le-_-mit,,,,,,,
SN000608,"run from, run because of",le-_-mur,,,,,,,
SN000609,"(eat) until full, until satiated (of food)",le-_-ning,,,,,,,
SN000610,show how to do (something),le-_-nusar,,,,,,,
SN000611,"startled, feel sudden shock or alarm",le-_-seser,,,,,,,
SN000612,"sleep, lie down on, in, at",le-_-tai,,,,,,,
SN000613,stand on,le-_-tati,,,,,,,
SN000614,"think of, remember (someone)",le-_-wamal,,,,,,,
SN000615,"pay attention to, be attentive to (someone); not ignore (someone)",le-_-welak,,,,,,,
SN000616,"lower down, let go down",le-_-ya,,,,,,,
SN000617,"leave provision for, leave for out for (someone)",le-_-yatu,,,"The item left out is introduced with [medi](medi), while the person for whom it is left is the P and coindexed by the prefix on the verb.",,,,
SN000618,forget (something),le-_-yepeng,,,,,,,
SN000619,"lean on, be leaning on",leadu,,,,,,,
SN000620,bark at (of a dog),lealoi,,,,,,,
SN000621,"family member, person who is in the same lineage group",learam,,,,,,,
SN000622,"agree on, reach consensus on",leato,,,,,,,
SN000623,"claim (something) for oneself, maintain (something) to be the case for one's own benefit",leayarang_-tati,,,,,,,
SN000624,"until many, much",lebal,,,,,,,
SN000625,"until sufficient, enough",lebarang,,,,,,,
SN000626,"splash around on, spray on (of water)",lebesi,,,,,,,
SN000627,"agree on (something), come to an agreement about (something)",lebisar,,,,,,,
SN000628,"be wounded, have an open wound or sore",leboli,,,,,,,
SN000629,"be without success, be unable to achieve what one set out to do",-leboli,,,,,,,
SN000630,"encircle, surround, be wrapped around (something)",LX000090,,,,,,,
SN000631,"serve (someone), perform duties or services for (someone)",LX000091,,,,,,,
SN000632,"roof, put a roof on",led,,,,,,,
SN000633,"until roasted, do roasting until all roasted",ledali,,,,,,,
SN000634,"pick at, worry (something)",leded,,,,,,,
SN000635,"fiddle with, touch (something) without a clear sense of purpose",leded,,,,,,,
SN000636,"crush, trap (something) by exerting downwards force",ledekeng,,,,,,,
SN000637,"cough from, because of",ledudung,,,,,,,
SN000638,sing to,LX000092,,,,,,,
SN000639,"crawl, creep on",leer,,,,,,,
SN000640,"until tired, until panting",leesel,,,,,,,
SN000641,be lying on (of an inanimate),legeti,,,,,,,
SN000642,"watch over, look after, take care of",LX000093,,,,,,,
SN000643,wait for (someone),LX000093,,,,,,,
SN000644,"load, transport",LX000094,,,"In this sense, the verb only occurs with a 3rd person prefix.",,,,
SN000645,"extend (something), make an extension on, make larger, taller etc.",LX000095,,,"In this sense, the verb only occurs with a 3rd person prefix.",,,,
SN000646,"shoot, kill or wound (a person or animal) with a bullet",LX000096,,,This item takes prefixes of the third agreement series for human referents of P.,,,,
SN000647,"do (something) in return, do the same thing back to someone as was done to one's self",LX000097,,,"In this sense, the verb only occurs with a 3rd person prefix.",,,,
SN000648,dismantle,lekat,,,,,,,
SN000649,"crowded, packed; (of a space) full of people pr things leaving little room for movement",LX000098,,,,,,,
SN000650,shine on (of the sun),lekatang,,,,,,,
SN000651,"count, calculate number of (people or things)",-leki,,,,,,,
SN000652,cry for,leko,,,,,,,
SN000653,"fasten, tie to, fix (one thing) to (another)",lekoi,,,,,,,
SN000654,"take responsiblity for, pay the way of, bear the cost of (someone)",lekonto,,,,,,,
SN000655,"swarm over, throng around",lekum,,,,,,,
SN000656,grow on,lekur,,,,,,,
SN000657,"comb, untangle (one's hair) by drawing a comb through it",lekuri,,,,lekuir,,,
SN000658,"cover over, put (something) on top of",LX000099,,,,,,,
SN000659,"be in a circle around, in a ring around, encircle (something)",LX000100,,,,,,,
SN000660,prohibition placed around a garden to stop people entering and taking its contents,lel,,,,,,,
SN000661,"dorsal fin on the back (of a fish, shark etc.)",LX000101,,,,,,,
SN000662,type of wooden tool used for planting,lela,,,,,,,
SN000663,"survey, make a survey of (a place); travel and examine (an area of land)",lelailol,,,,,,,
SN000664,"open a bit, open a small way",lelak,,,,,,,
SN000665,hang from,lelakal,,,,,,,
SN000666,"fan, waving an object to create a current of air",lelau,,,,,,,
SN000667,consider whether someone has something to give of not; weigh up whether one can get something from someone,lelomrang,,,,,,,
SN000668,"lie to, deceive (someone)",LX000102,,,,,,,
SN000669,"be organised, ready",LX000103,,,,,,,
SN000670,"strike, come into contact with",lemai,,,,,,,
SN000671,"chew, masticate",lemam,,,,,,,
SN000672,"remove, take from, extract",lemedi,,,,,,,
SN000673,"step in, enter into",lemira,,,,,,,
SN000674,"take responsibility for, bear the burden of",lemod,,,,,,,
SN000675,"defend, protect",lemolong,,,,,,,
SN000676,"smell, percieve the smell of (something/someone)",lemuing,,,,lemuni,,,
SN000677,"suck out of (the inside), extract by sucking",LX000104,,,,,,,
SN000678,read,LX000105,,,,,,,
SN000679,"feel sad, be in mourning",LX000106,,,,,,,
SN000680,"vomit from, because of (something)",LX000107,,,,,,,
SN000681,see one's own reflection in a mirror,LX000108,,,,,,,
SN000682,"to, towards; verb encoding motion towards a non-locative referent (animate etc.)",leng,,,,,,,
SN000683,"have, possess",leng,,,This appears to be only used with inanimate possessors.,,,,
SN000684,"strike, (of a projectile) hit a target.",LX000109,,,,,,,
SN000685,"tie onto, tie to the top of",lepas,,,,,,,
SN000686,tie together so that (the parts of something) are not scattered,lepas,,,,,,,
SN000687,"winnow, move a current of air through (grain) to remove the chaff",lepeli,,,,,,,
SN000688,stick onto,lepidaki,,,,,,,
SN000689,"rob, steal",lepramu,,,,,,,
SN000690,"debate, argue",lepresing,,,,,,,
SN000691,"express an idea, come with a new idea",lepring,,,,,,,
SN000692,wipe,lepu,,,,,,,
SN000693,"smoke out, fumigate, expose to smoke",lepunak,,,,,,,
SN000694,touch,LX000110,,,,,,,
SN000695,"royal person, person of the highest rank",leri,,,,,,,
SN000696,swim out to,lesai,,,,,,,
SN000697,"love, have affection for, be fond of, hold (someone) dear",lesaing,,,,,,,
SN000698,"love a lot, feel a great deal of pity for",LX000111,,,,,,,
SN000699,"intimate, be emotionally close",lesaing-saing,,,,,,,
SN000700,until old,lesaku,,,,,,,
SN000701,"avoid, divert around, go around something that is in the way",lesal,,,,,,,
SN000702,ask a question about (someone/something),lesebi,,,,leseib,,,
SN000703,ask a question of (someone),-lesebi,,,,-leseib,,,
SN000704,"reach dryland, make one's way onto dry land",leser,,,,,,,
SN000705,"wash, clean with water",lesi,,,,,,,
SN000706,"vagina, female gentials",-lesiko,,,,,,,
SN000707,"have bred, multiplied one's numbers; have produced many offspring",lesir_lemai,,,,,,,
SN000708,give hug to,leskau,,,,,,,
SN000709,send,lesoi,,,T is optionally flagged with [medi](medi) 'take'.,,,,
SN000710,"watch, view",lesum,,,,,,,
SN000711,"bizarre, strange",lesumar,,,,,,,
SN000712,"sad, be experiencing hardship or difficulties because of, on account of",lesus,,,,,,,
SN000713,"be scattered over, get scattered over",LX000112,,,,,,,
SN000714,"(of people or animals) scattered all over, separate and move off quickly in different directions",LX000113,,,,,,,
SN000715,"scatter-brained, distracted, disorganized",LX000113,,,,,,,
SN000716,fall from (a location),letaing,,,,,,,
SN000717,fall to (a location),letaing,,,,,,,
SN000718,crush into paste or powder using stone,LX000114,,,,,,,
SN000719,"flatten bamboo ; split bamboo into long lengths and then flatten it by pounding in order to make ready for plaiting (e.g., into baskets)",LX000114,,,,,,,
SN000720,"answer, respond",LX000115,,,,,,,
SN000721,"set alight, cause to burn",letak,,,,,,,
SN000722,"cover, obscure; extend over (an area)",leter,,,,,,,
SN000723,"head for, towards; direct one's movements towards",letomu,,,,,,,
SN000724,become wrong,LX000116,,,,,,,
SN000725,"spread out (cloth, sheet etc.) on (a location)",LX000117,,,"The location on which an item is spread is coded as P, while the spread item is introduced with [medi](medi) 'take'.",,,,
SN000726,"spit at, spit on",leuring,,,,,,,
SN000727,guard garden against (animal),lewak,,,,,,,
SN000728,"climb up, mount (something)",lewakar,,,,,,,
SN000729,lay egg on,lewal,,,,,,,
SN000730,"fill up, cover completely",lewali,,,,,,,
SN000731,"search for, look for",leweng,,,,,,,
SN000732,particular place or spot (of a person),LX000118,,,,,,,
SN000733,"hear, listen",lewesi,,,,,,,
SN000734,"put out to dry in the sun, let dry off in the sun",lewudilei,,,,,,,
SN000735,"water, pour water over (a plant or area)",lewuli,,,,,,,
SN000736,"crash into, bump into",lewur,,,,,,,
SN000737,"tell a story, recount",leyar,,,,,,,
SN000738,"laugh at, mock, tease (someone)",leyer,,,,,,,
SN000739,"ringworm, fungal infection of the skin",lilil,,,,,Dermatophytosis spp.,,
SN000740,hole in soil,lok,,,,,,,
SN000741,head,-lokmang,,,,,,,
SN000742,"follow, go along (a route or path)",-lol,,,,,,,
SN000743,"undertake or carry out (e.g., course of action or study)",-lol,,,,,,,
SN000744,"run through, go via (of a liquid)",-lol,,,,,,,
SN000745,"altar, place where people gather and discuss matters of customary practices and tradition",lol_ayang,,,,,,,
SN000746,"visit (someone), travel to visit (someone)",-lol_lailol,,,,,,,
SN000747,calm (someone) down,-lol_wai,,,,,,,
SN000748,deep open sea; expanse of sea away from land where it is very deep,lomrang,,,,,,,
SN000749,"talk, speak, say, utter",lomu,,,,,,,
SN000750,"speak to, address",LX000119,,,,,,,
SN000751,"speak, talk about",LX000119,,,,,,,
SN000752,language,-lomu,,,,,,,
SN000753,"utterance, word, that which is said or written",-lomu,,,,,,,
SN000754,"reminder, caution, moral",lomu_iko,,,,,,,
SN000755,"utterance, talk, converse",LX000120,,,,,,,
SN000756,"discuss, talk",LX000121,,,,,,,
SN000757,"python, snake species",lono_mun,,,,,Pythonidae,,
SN000758,straight,lor,,,,,,,
SN000759,correct,lor,,,,,,,
SN000760,message,LX000122,,,,,,,
SN000761,"truthfully, honestly, not cheating",lor_tomu,,,This is used as an adverbial SVC; it is always followed by a semantically main verb denoting the action carried out.,,,,
SN000762,"lizard, skink",lorwak,,,,,,,
SN000763,far,lot,,,,,,,
SN000764,"quail, bird species",lotiber,,,,,,,
SN000765,"rattan, often used to make a kind of cane for beatings",lotor,,,,,,,
SN000766,species of wild rattan that climbs up trees,lowakar,,,,,,,
SN000767,"liar, lies a lot",lowakar_bik,,,,,,,
SN000768,forehead,-luaser,,,,,,,
SN000769,deep (of water),luk,,,,,,,
SN000770,burn (of fire only),lus,,,,,,,
SN000771,flare up brightly,LX000123,,,,,,,
SN000772,"be feverish, have a fever",LX000124,,,,,,,
SN000773,"lie, cheat, tell a lie or lies",LX000125,,,,,,,
SN000774,Asian Palm Civet,LX000126,,,,,Paradoxurus hermaphroditus,,
SN000775,"bend over, bend the head or upper part of the body",LX000127,,,,,,,
SN000776,"pot, cooking vessel that is usually round and deep",LX000128,,,,,,,
SN000777,immediately,LX000129,,,,,,,
SN000778,"until, up to (an event); clause-initial clause connector",LX000130,,,,,,,
SN000779,"until, up to (a place or time); introduces an NP denoting time or place",LX000131,,,,,,,
SN000780,"man, human male",LX000132,,,,,,,
SN000781,male (human or animal),LX000132,,,"This sense is found in NN compounds, where [lèmi](LX000132) is the second noun.",,,,
SN000782,husband (of someone),LX000133,,,,,,,
SN000783,"wounded from being struck by an arrow, bullet, knife etc.",LX000134,,,,,,,
SN000784,"long, of great length",LX000135,,,,,,,
SN000785,young (of maize),LX000136,,,,,,,
SN000786,"strong wind, stiff breeze",LX000137,,,,,,,
SN000787,"white gum, species of eucalyptus",LX000138,,,,,Eucalyptus alba,,
SN000788,"licen, moss species",LX000139,,,,,,,
SN000789,"fine dirt, soil",ma,,,,,,,
SN000790,"ground, solid surface of the earth",ma,,,"This sense is used particularly when [ma](ma) is marked with the postposition [=mi](LX000146) 'in, located at'.",,,,
SN000791,"voice, sound",-ma,,,,,,,
SN000792,"make a sound, noise",LX000140,,,,,,,
SN000793,"make sound, give voice",LX000141,,,,,,,
SN000794,earthenware pot,LX000142,,,,,,,
SN000795,clay,ma_pus,,,,,,,
SN000796,meat,mad,,,This meaning appears when used with a preceding animal name.,,,,
SN000797,"cook, boil in water",LX000143,,,,,,,
SN000798,"cook, prepare food by cooking",mad_ira,,,,,,,
SN000799,"gently (of speech, talk)",mad_lumak,,,,,,,
SN000800,wear a garment such as a shirt on the upper body,madang,,,,,,,
SN000801,"Mademang, market town on the south coast of Alor.",Mademang,,,,,,,
SN000802,bird species,madol,,,,,,,
SN000803,fall (of rain),mai,,,,,,,
SN000804,come on the level towards the deictic centre,-mai,,,,,,,
SN000805,ask a question of (someone),-mak_sebi,,,,-mak seib,,,
SN000806,dirty,makang,,,,,,,
SN000807,sweet,malang,,,,,,,
SN000808,"monkey, macaque; crab-eating macaque (species specifically found in Alor)",malkori,,,,,Macaca fascicularis,,
SN000809,"chew, bite and gnash without swallowing the substance",mam,,,,,,,
SN000810,"strike, come into contact with",-mangtaing,,,,,,,
SN000811,"be fastened, caught, stuck in/on",-mangtaing,,,,,,,
SN000812,"betel vine, betel pepper",mas,,,,,Piper betle,,
SN000813,"sugar palm, species of plant that commonly grows on the coast",mata_butil,,,,,Arenga brevipes,,
SN000814,"Asian Palm Civet, when heard, but not seen in the bush",maulukluk,,,,,Paradoxurus hermaphroditus,,
SN000815,"common green bottle fly, large green fly species",LX000144,,,,,Lucilia sericata,,
SN000816,table,med,,,,,,,
SN000817,"take, get, catch hold of, lay hold of (something) with one's hands",medi,,,,,,,
SN000818,"remove, take away (something) from a particular place",medi,,,,,,,
SN000819,"pick up, fetch",medi,,,,,,,
SN000820,"with, by means of; introduces an instrumental NP into a clause",medi,,,,,,,
SN000821,woman,mei,,,,,,,
SN000822,female (of an animal),mei,,,,,,,
SN000823,wife (of someone),-mei,,,,,,,
SN000824,"throat, oesophagus",-meiner,,,,,,,
SN000825,"neck, throat",-meing,,,,,,,
SN000826,thirsty,-meing_ser,,,,,,,
SN000827,cause grief,LX000145,,,,,,,
SN000828,"nape of the neck, back of the neck",-meinuk,,,,,,,
SN000829,lightning,mek,,,,,,,
SN000830,"pull, tug",-mekeng,,,,,,,
SN000831,"raise, hoist",-mekeng,,,,,,,
SN000832,who,mel,,,,,,,
SN000833,be scared,meleng,,,,,,,
SN000834,be scary,meleng,,,,,,,
SN000835,"threaten, scold by means of speaking loudly",-meleng,,,,,,,
SN000836,"slide, shift by moving across a surface",mes,,,,,,,
SN000837,"waist, part of body between the chest and the hips",-met,,,,,,,
SN000838,"in, at, into; locative applicative prefix for an applied P that denotes a location at, in(to), or around which the event denoted by a verb occurs",mi-,,,,,,,
SN000839,"out of, from within; locative applicative prefix for an applied P that denotes that a referent issues from an interior location",mi-,,,,,,,
SN000840,"more, further; denotes further movement into a state, that is, an increase in the state experienced by S",mi-,,,,,,,
SN000841,"do again, repeat the action denoted by the verb root",mi-,,,,,,,
SN000842,do X number of times; occurs on a numeral denoting how many times an action denoted by preceding verb,mi-,,,,,,,
SN000843,"in, at; general locative postposition, used for any spatial relationship where one entity is broadly contained with another",LX000146,,,,,,,
SN000844,"defecate out, shit out",mi-_-ket,,,,,,,
SN000845,"live at, stay at",mi-_-ko,,,,,,,
SN000846,"sit in, at",mi-_-mit,,,,,,,
SN000847,more angry,mi-_-sorong,,,,,,,
SN000848,"stand in, at",mi-_-tati,,,,,,,
SN000849,"stand out from, stick out from",mi-_-tati,,,,,,,
SN000850,hide oneself in a location,mi-_-uing,,,,,,,
